ground_truth,alt_best,alt_middle,alt_worst,score_best,score_middle,score_worst
Sometimes Deaf people share and exchange stories about what they have learned about noises. So they will be careful with subsequent situations.,"Deaf people sometimes learn stories from friends, exchange tips, inform about noises, and learn from these situations to take care of themselves.  ","Sometimes deaf individuals share storytelling with friends, exchange tips for dealing with noise, and learn to care for themselves in different situations.  ","Deaf persons at times engage with friends through stories and tips, informing each other about noise issues for personal growth and self-care.",0.46277073,0.42627954,0.32985646
"The areas where there is an expectation of quiet are like a library, church, movie theater.","A quiet wish for the library to be listed first, followed by the church, concerning the movie section.  ",I quietly hope that the library is the first on the list and the church is second for the movie part.  ,"Quietly hoping that the library is prioritized first-in-list, then the church, for the movie part.  ",0.29184034,0.21400873,0.1739471
"He was urinating, and he decided to play around and make bubbles on the toilet.","While on the toilet, I decided to make urine bubbles.  ",I use the toilet and decide why not make urine bubbles while I'm there.  ,"I make bubbles with my urine when I use the toilet, why not decide?  ",0.6735537,0.5162808,0.39504626
"A long time ago, when he was young, he was outside playing basketball and he needed to pee. He ran into the house, saw his mother was on the phone. He ran into the bathroom.","A long time ago, when I was young, I finished playing basketball outside, had to run to the toilet, came home, saw my mother on the phone, it was okay, went in, ran to the toilet, and sighed.  ","When I was young, I used to play basketball outside, finish, run to the toilet, come home, see my mom on the phone, everything was fine, and then run into the toilet and sigh.  ","As a child long ago, after basketball outside, I'd finish, run to the toilet, reach home, observe mom on a call, all seemed fine, then head to the toilet and let out a sigh.  ",0.60029835,0.45298108,0.34306154
What does it mean if a person emits waste loudly?  There is actually a long list of cultural items that are related to the control of sound.,"If a person is emitting waste loudly, what does it mean regarding a culture of unity or cooperation to manage sound?","What does making loud waste noise signify, does it have to do with a long-established culture for managing sound?",Does making noise loudly signify a culture involving management or control of sound through cooperation?,0.47809124,0.35922188,0.2796107
"For example, another place is the bathroom.",Show the other place where the toilet is.  ,Please show me the other place for the toilet.  ,Can you show the other toilet location?  ,0.49739933,0.4388705,0.34509823
It shows us how hard it is for us to handle the voice range since the expectations are already culturally settled on what is acceptable and what is not.,"I'm demonstrating managing with cultural context, hoping to define what is acceptable and what is not.","I exemplify control within cultural norms, wishing for them to comprehend the range of acceptable ideas and those that aren't.","I illustrate controlling with cultural insight, hoping they discern between what should be welcomed and what should not.",0.42750433,0.34541216,0.2690681
"She said, ""You peed on the water, don't do that. You should pee on the bowl of the toilet and avoid water to make it less loud."" He learned from his mother that peeing on the water makes a terrible noise.","Mom told me that aiming directly makes it clean in the water, but aiming less in the water makes it noisy. I learned from my mom that aiming directly and missing the water is just awful.  ","My mother's advice was that shooting directly is clean on the water, whereas less on water makes noise. It's bad when I aim wrong; that's from my mom.  ","Mom mentioned that shooting straight is neat and tidy on water, but aiming less can be loud. Learning from her mistake was shocking and terrible when improperly aimed.  ",0.37657553,0.3146373,0.20103039
"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Headed to a movie, grabbed a popcorn bucket and dug in, searching for kernels and kept eating.  ","Went to the movies and grabbed a bucket of popcorn, reaching in and eating some, digging around for kernels and continuing to reach and eat.  ","Went to see a film, picked up popcorn, continuously reaching in to snack and searching for kernels.  ",0.43896478,0.39857012,0.33059952
"So, I was thinking about this.  Is the bathroom itself a safe sanucatory?  Not necessarily, because hearing people who enter the bathroom can still hear people nearby.","""The toilet isn't a safe sanctuary because those entering can hear others.""  ","""I don't think the toilet is a safe place like a sanctuary because people can hear inside.""  ","""I realize the toilet must not be treated as a safe place like a sanctuary because people hear.""  ",0.42754212,0.3631773,0.26864818
They made a judgment in the bathroom. Judgment is carried out in the bathroom.,I looked over and the court was made in the bathroom. The court is being brought into the restroom.  ,"I inspected the court, and there is a restroom included. The court is in charge of moving things into the restroom.  ","I glanced at the court setup, which has a toilet built in. The court is engaged in bringing stuff into the restroom.  ",0.4456851,0.3669727,0.29423267
"His parents tried to tell him to stop. When he came out of the bathroom, his parents would say, ""You piss like a horse.""","""I told her to stop peeing like a horse, and she was as mad as a horse.""","""I tried to stop them from pissing like a horse, but they got angry like a horse.""","""I tried saying to stop peeing like a horse; they became as furious as a horse.""",0.45299166,0.4290978,0.3726816
"One had an experience playing football on the field. A CODA football player was running while holding a football as he was gaining yards, while fans were yelling from the grandstand, but it was enough for the player to hear his parents' voice all the way from the grandstand.","One individual experienced playing football in a group on a field, seeing players holding and wrestling for the football, and heard screams and cheers from fans, including parents.  ","Someone witnessed and experienced a football game with his group, hearing the screams of a supporting crowd, including his mother and father, while players wrestled for the ball.  ","Someone experienced a game of football with a group and heard and saw a cheering crowd of fans, scream, and parents cheering as players wrestled and ran with the ball.  ",0.35839653,0.3110527,0.2618138
"So it was wow. There are places that loud voices are permitted but you have to experiment enough on the voice range itself. Some areas are quiet, oh.","Voice range is allowed in this area, but quiet experimentation on different paths is still needed.  ","There is an idea of using voice range in the area which is allowed, but experimentation with voice range must still be done quietly on a different path.  ","Using voice range is allowed here, but experimenting quietly on different paths must still occur.  ",0.39921853,0.32126966,0.28218243
"He grew up, he entered college, and he met a hearing CODA woman. He started to like her, and he was around his early to mid 20's at that time.","When I was around 25 or in my early twenties, I met them, and these chats were uplifting.  ","Growing up and entering college, I met and chatted with five hearing women. Being a CODA, these conversations were enjoyable, though sometimes frustrating.  ","As I matured and attended college, I encountered five hearing women. We chatted, enjoying each other’s company, but with some exasperation.  ",0.35738224,0.31625903,0.2650544
So many Deaf don't realize that people look down on us that way.,"I got shocked, and thought there was no reason for them to size me up that way.  ","I was shocked, then realized there was no reason for them to look me up and down, and allow it.  ","I was shocked, and thought, I see why there's no reason to be looked up and down.  ",0.30026183,0.2366277,0.15781572
"When Deaf people enter a church, everything is quiet. So once when a Deaf person got a bible, he didn't realize that as he continued reading the book while turning the pages, the book made rustling noises as the pages turned.","When deaf persons entered the church, it appeared quiet with everyone sitting and looking around.  ","People who are deaf went into the church, and it appeared calm as everyone was seated and staring.  ","A group of deaf folk stepped into the church, causing it to seem quiet as attendees sat and stared.  ",0.36075354,0.3096729,0.26720622
"He said, ""Oh really, what is it?"" She said, ""you urinated on the toilet water, and you should switch to the surface bowl of the toilet to avoid noise."" He was embarrassed from girlfriend during that time.","I was puzzled, seeing them point and pee on the curve of the toilet bowl, feeling very embarrassed, and I learned this from their girlfriend at that time.  ","I observed them in confusion, noticing how they pointed and peed on the curve of the toilet, feeling deeply embarrassed, which I learned from their girlfriend at that time.  ","I watched curiously as they pointed and peed at the curved part of the toilet bowl, feeling very embarrassed, which their girlfriend taught me back then.  ",0.3383507,0.3212414,0.30198243
But it's not true. People are still judging there.,"It's not truly a courthouse, yet people continue attending there.","Not technically a court, yet people continue to meet there.","It's not the official court, though people still use that space.",0.5244667,0.48928612,0.43186483
"When I enter there, I should be feeling free.",Go in and feel free to be surprised.,Feel free to enter and be surprised.  ,"You can go enter, feel surprised!  ",0.41680634,0.32541296,0.2695032
He was shocked that he could hear his parents' voice out of all fans in the grandstand,He was completely stunned when he heard his mother and father scream.  ,The reaction was total shock upon hearing his parents scream in that area.  ,"His parents screamed in the place, and he was totally frozen in reaction.  ",0.3676649,0.3149703,0.20629886
"If a person emits waste loudly, without controlling the noise, it shows the person isn't polite. There is a long list of implicit cultural rules that apply to the Deaf, when they, obliviously, enter the bathroom.",A person not managing waste well looks polite but doesn't understand the long list of cultural meanings until they enter a bathroom like the deaf. ,A person who does not manage waste well seems polite but does not comprehend a long list of cultural etiquettes until they enter a restroom unaware.  ,"One appears polite managing waste poorly, not understanding cultural lists, until unknowingly entering a toilet when unaware like the deaf.  ",0.30256444,0.2702812,0.2090747
"When they go to places where noises are permitted, like football and basketball games—the sites where the fans would be yelling to cheer, Deaf people assume that they are free to make noises, so they join them by yelling and cheering.","Where people gather for basketball and football games, the noise is tolerated, and we scream and cheer with them.  ","That area permits noise, similar to what you'd hear in a football or basketball stadium, and the noise from fans' cheering is free.  ","The location allows a noise level comparable to a stadium, for both basketball and football games, with cheering as a given.  ",0.41553214,0.29334232,0.21446891
"The person next to him nudged the Deaf person with an elbow and said  ""Shh""  and pointed out popcorn. The deaf person realized and learned.","I nudged my neighbor and reached into the popcorn bucket, then I whispered ""shhh"" and pointed to the popcorn bucket and realized you learned.  ","I gave my neighbor a little nudge, reached for the popcorn, and whispered ""shhh"" as I pointed at the bucket indicating you learned.  ","I softly poked my neighbor to get popcorn, mouthed ""shhh,"" and pointed at the popcorn bucket, realizing you learned.  ",0.36042863,0.31347963,0.27816167
"The person next to the Deaf person pushed their elbow into the Deaf person and said, ""Shh."" The Deaf person was astonished and realized that the book had made some noises, so he decided to shut the book and put it back.",I turned the pages quickly and nudged the person next to me.  ,"I was flipping pages, nudged my neighbor, and flipped pages again.  ",I nudge my neighbor while flipping pages and whispered quietly.  ,0.31447873,0.19171008,0.13709395
The control of sounds has different areas of rules. The place with quiet expectations. The place with permission to be loud.,"Place j is noisy and rumbling, which is permitted.",Place i: it's quiet; I'm thinking and hoping.,"Place i, j, and k have a rule; k, j, and i are permitted.",0.27317077,0.18347153,0.14800912
"Bill Ennis told a great story about ""bubbles"".",Bill Ennis told a great story about Bubbles.  ,The story Bill Ennis told about Bubbles was great.  ,Bill Ennis's discourse on Bubbles was enthralling.  ,0.7725217,0.6860277,0.5459075
"The Deaf person didn't realize, so the hearing person explained, ""you rustle the book, it's too noisy, you need to turn the pages slowly."" So he learned the lesson.","There's no reason that explains the noise from there. What are they doing? Quickly flipping, holding, then slowly turning pages. Are they learning? I don't get it.","That noise from over there, oh, what are they doing? Quickly flipping through pages, pause, slowly flipping pages, really what are they learning? I don't understand.  ","There's no reason for noise from that direction. What's the activity? Rapid page flipping, stopping, then slow flip—what's the learning here? That isn't the reason why.  ",0.22201774,0.18297003,0.08280553
"Hearing people control the noise when emitting waste, whereas Deaf people emit waste loudly. I was like, ""Ohh.""","I realize hearing people emit waste quietly, whereas deaf people emit waste loudly.  ","I understand that hearing people manage waste emissions quietly, but deaf people do it loudly.  ","Hearing individuals manage emissions more quietly than deaf individuals, interesting.  ",0.5432567,0.430342,0.33121896
"Later, he went to the bathroom again. His mother made the same remark: ""You piss like a horse.""",You came back again and you seem pissed like a horse.  ,"After leaving and returning, you appear pissed off like a horse.  ","After heading out and coming back, you look incredibly pissed like a horse.  ",0.43332902,0.3636424,0.2959748
So that's how Deaf people learn.,That's how deaf people learn.  ,This is how the deaf learn.  ,"That's their method of learning, for deaf people.  ",0.85187787,0.7748607,0.6183739
He married that woman and lived happily ever after.,Marry one of those five women and live happily from now on.  ,Marry one of those five women and be happy from now on.  ,Select a woman from those five to marry and be happy from now on.  ,0.49747348,0.43734023,0.36095977
That shows how many noise hangups hearing people have related to that kind of noise.,A lot of noise causes hearing people to be reluctant to partner with that group on a narrow street.  ,"Many people don't like the noise, so hearing people have issues cooperating with that group in the narrow street.  ",Excessive noise leads to hearing people having difficulty uniting with that group on a narrow street.  ,0.3785289,0.32129404,0.2672818
To the point where some cultures make other noises in the background...,Some cultures make noise in the environment.  ,Different cultures produce noise in the environment.  ,Certain cultures bring about environmental noise.,0.5807466,0.48638773,0.39181766
There's a limited voice range. That's Dean's problem: he often goes over that range.,The dean's problem was that his voice went above the usual voice range.  ,The dean's voice was a problem because it was beyond the common vocal range.  ,The difficulty with the dean was due to his voice being above normal voice range.  ,0.4960375,0.46536788,0.39213973
It's not necessary for the ranges considered to be acceptable to be the same all over the the world.,I am not the same as others in the world.  ,"In the world, I am not the same as others.  ","I am unique in the world, not like others.  ",0.39392993,0.33198106,0.25909832
"In the field of audiovocal orientation, they have their own way of viewing the role of voice range...","In the Audiovocal orientation major, their setup visualizes rules united with vocal range buoy.  ",Their setup for the Audiovocal orientation major visualizes rules uniting with voice range buoy.  ,The setting for the Audiovocal orientation major visualizes rules that cooperate with the vocal range buoy.   ,0.41327083,0.34092456,0.30047938
"Some cultures have more expanded range norms than others, but all of them have range expectations.","Certain cultures are beyond the expected range, but all have some form of range.  ","Certain cultures exceed the range, but all have their own limits.  ","Certain people from some cultures are beyond the range, while others have a customary range.  ",0.5363778,0.4959874,0.4236704
"and noise range. There are more things on the list, but I am focusing here on those two, with respect to acceptable ranges.","There's a long list of noise ranges, but I choose to focus narrowly on those two accepted ranges.  ","The noise has many ranges, but I will focus on the two acceptable ones.  ","Among the wide range of noise options, I am focusing on those two that are accepted.  ",0.59088767,0.53789324,0.43755
"If there's no voice, that means there's no identity.","""No voice is present that acknowledges ignorance during the review.""","""There isn't any audible 'I don't know' during the entire review process.""","""Voices don't say 'I don't know' while alternating the examination.""",0.30571395,0.22713259,0.14850107
"When it's loud, it can be seen as a lack of politeness, as barbaric.","It's loud, and wow, there's nothing polite, just barbaric; wow, see the long list.  ","The sound is a wow, with no politeness; it's barbaric, wow, observe the long list.  ","It's a loud wow with nothing polite, purely barbaric; wow, inspect the lengthy list.  ",0.3785483,0.29153556,0.2511024
"They exceed normal voice ranges, which gives rise to various interpretations.","""Build a long list that illustrates the meaning of exceeding range barriers.""","""Making a long list that shows the meaning of range overextension.""","""RANGE over going with the range to make a long list and visualize the meaning list.""",0.28608802,0.20874874,0.14807798
"People make different judgments that are in conflict, giving rise to sensory politics.",The court's numerous attempts are a type of continuous struggle involving sensory politics.  ,Repeated court decisions lead to a prolonged struggle of sensory political issues.  ,Court repeatedly making decisions reflects an ongoing struggle concerning sensory matters in politics.  ,0.37773532,0.35031053,0.25964892
Whoever makes this kind of judgment enters into sensory politics.,Who was involved in creating the court associated with sensory politics?  ,Who was the originator of the court which deals with sensory politics?  ,Who was the founder of the court associated with sensory politics that I entered?  ,0.30364266,0.21403028,0.16138408
"What happens in groups of people who have a visual-tactile oriented way of life is that they have their own habits, but they break many voice range rules when they join different groups.","What happens when a group of people with specialties come together is they live in a tactile-oriented way, breaking their habits when they join and change their range.  ","A group with tactile-orientation forms a specialty line, breaking their habits and adjusting their range when coming together.  ","When attracted by tactile orientation, specialized groups adjust their living habits and expand their established range.  ",0.5208948,0.36293185,0.26494458
"Or perhaps there's something wrong with the voice, or the person will be thought to be slow-minded.","Or maybe the voice is wrong, slow, thinking ""Oh.""","Voice seems wrong, think slow, and say ""Oh.""","Voice sounded wrong, thought slowly, and said ""Oh.""",0.3895818,0.23765151,0.17882109
This happens when people don't know about the differences in sensory orientation.,There are people who don't know about different pathways of orientation.  ,Some people may not be aware of the different orientations and pathways.  ,People may face unfamiliarity with various pathways concerning orientation.  ,0.6283666,0.54314613,0.39751452
... while I was growing up until I was six  and a half years old.,I grew up until I was six and a half years old.,Growing up until I turned six and a half.,Reaching the age of six and a half in my growth.,0.6410197,0.5129469,0.23821445
"We were okay with it, so that`s when my family moved there.","Once everything is fine, the family will relocate.  ",The family will move when things are fine.  ,The family move happens when they feel fine.  ,0.41991204,0.3852891,0.23247734
"I moved into the dorm again. During that time, my parents had been living where they were for more than seven years, but I had already left home before that.","I moved into the same dorm, and at that time, my parents had been living at their place for seven years, but I left them earlier.   ","I was moving into the same dorm then, while my mother and father had been living there for seven years already, but I left before they did.   ","I relocated to the same dorm, during which my parents were living at their location for seven years, but I departed before them.   ",0.68247634,0.5748823,0.53986526
I never lived in a house... ...,I have not lived in a house for more than seven years.  ,I have never lived in one house for more than seven years.  ,I've never been in one residence for over seven years.  ,0.49893698,0.39552128,0.33845064
so I didn`t need to worry about attending a hearing school or a Deaf school.,You absolutely don't need to worry about hearing schools or deaf institutes.  ,There's nothing you have to worry about regarding a hearing school or deaf institute.  ,"You must not worry about hearing school or deaf institute, not at all.  ",0.56725687,0.50152886,0.46470675
"My mother taught my two brothers and me, so it was easier for us to move around.",Mom taught me and my two brothers to move easily.  ,Mother and I plus my two brothers learned to move easily.  ,Mother instructed me and my brothers on easy moving.  ,0.6604362,0.5942339,0.5218915
There's something strange about myself.,There is something strange about me.  ,I have something weird about me.  ,Something is strange regarding me.  ,0.84981185,0.75165933,0.65261364
"Because his job involved a big project located south, in New York.",Why is there a big project at their workplace in South New York?  ,Why do they have a big project at their work in South New York?  ,Why does their work have a big project where it is in South New York?  ,0.45186755,0.38219613,0.3168954
That went on for around six years.,Made progress for about six years.  ,There has been progress for around six years.  ,Advancements for close to six years.  ,0.68740684,0.63616866,0.48575237
So we moved south to New York,I am moving south to New York City.  ,I'm heading south to NYC.  ,I'm moving south towards New York City's location.  ,0.71548563,0.632909,0.5509369
"So basically, I almost never went home to except for vacations or long weekends, that`s when I would commute. But, most of the time I stayed in Rochester...","I almost never go home except for vacations or long weekends. I usually commute, but most of the time I stay in Rochester.  ","I practically never head home apart from vacations or extended weekends. I may commute, but my main stay is in Rochester.  ","Home is not a common visit for me except during holidays or long weekends. I have a commuting routine, but primarily stay in Rochester.  ",0.63972217,0.50614786,0.43653998
"So, we agreed with the decision and went ahead and moved south to New York; it was around an hour north of NYC.","There was hesitation, but I agreed to proceed and move south, to an area around New York, roughly one hour north of NYC.  ","I hesitated a bit but agreed to proceed and move south, around New York, which is about an hour north of NYC.  ","Despite hesitation, I agreed to move forward, proceeding south near New York, approximately one hour north of NYC.",0.59202516,0.5753556,0.50553614
so I won't have lived there for seven years.,You are not yet living there for seven years.  ,You're not living there for seven years yet.  ,You haven't been there for seven years yet.  ,0.5890904,0.53080845,0.5004471
"So, the family in fact move here, and I took the opportunity to move in and live with my family at the new house in Rochester.","They worked really hard to move, and I took the chance to live in Rochester with his family in their new house.","About his family, they really worked hard to move, and I grabbed the chance to move to a new house in Rochester with them.","In terms of his family efforts, they worked really hard to move, and I took the opportunity to relocate to Rochester with them.",0.55929977,0.50360614,0.44238305
"So, may seem like I stayed there longer than seven years.    But then it hit me...","It seems like I may stay the longest for more than seven years, but it affects me.  ","It appears I might remain longer than seven years at most, but it impacts me.  ","Maybe I appear to remain beyond seven years the most, but it troubles me.  ",0.41540074,0.3599847,0.25925195
"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too.","That person was incredibly fine, so I want to transfer to Rochester to work at RIT as well.  ",There's a certain reason I want to transfer to Rochester and work at RIT the same way.  ,"It's impressive, the fine part of me wants to transfer to Rochester and work at RIT the same.  ",0.44273904,0.41166043,0.3602969
"Since then, I have lived there for around almost three years.",I have been living here for almost three years.  ,I've been living in this area for almost three years.  ,I have been living here approximately three years now.  ,0.70891964,0.6300604,0.55255437
"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.","For two years, I was a junior and senior, graduated high school, and then went to RIT, Rochester Institute of Technology.  ","I spent two years as a junior and senior, graduated high school, and entered RIT, Rochester Institute of Technology.  ","During my last two years of high school, I graduated and joined RIT, Rochester Institute of Technology.  ",0.6472039,0.58949053,0.50534475
"So, it wasn't worth it for him to commute frequently for a long distance, it was better for the family to move away.","Commuting isn't worth it, it's better for the family to relocate.  ","It's not worth commuting, the family is better moving.  ",The family would be better off moving rather than dealing with the commute.  ,0.6526211,0.54851454,0.44157183
I lived there in a house with my parents and two brothers...,I share a house with my parents and two brothers.  ,I am living at the home of my parents with two brothers.  ,I currently reside with both my mom and dad and my two brothers.  ,0.7915567,0.67783046,0.57091564
I decided I wanted to transfer  to the Rochester Institute.,I decided I want to transfer to the Rochester Institute.  ,I decided on transferring to Rochester Institute.  ,"Decide, I want to transfer to Rochester Institute.  ",0.7585926,0.6956065,0.64919114
"My parents were alright with it. I transferred to RSD, I stayed in the dorm.","My parents are alright with my transfer to RSD, and I'll be staying in the dormitory.  ","My mother and father are okay with me transferring to RSD, and I will remain in the dorm.  ","My mom and dad both said it's fine for me to transfer to RSD, thus I'll stay in the dorm.",0.7857172,0.72254145,0.6498855
My family decided to move to Vermont because my father got a job transfer with IBM.,The reason for the family's move to Vermont was the father's job transfer to IBM.  ,The family moved to Vermont because the father was transferred to the IBM location for work.  ,"The father was relocated to IBM for work, prompting the family to move to Vermont.  ",0.7479169,0.67854846,0.589232
"I guess I should`ve been moving away again, but my parents were okay with the same job.","I should start moving, but since my parents are still working, I guess that's okay.  ","I should start moving, even though my parents are working, so it's fine.  ","My intention is correct to start moving, but my parents have to stay at work, so it's fine.  ",0.50538784,0.41914782,0.35621646
"I graduated recently,",Are you saying you have graduated?  ,So you have graduated in the past?  ,Do you mean you have completed graduation?  ,0.39456597,0.3395698,0.3284198
"so that`s means I`ll be looking for a job, probably I`ll move away","In the future, searching for work means I will have to move.  ","In the future, looking for a job means moving.  ",Looking for new employment in the future will require moving.  ,0.38185778,0.33594602,0.24273245
"I wanted to be involved in sports and after-school activities, plus many other things. I wanted to be more socialized. So,","I want to be involved in sports, including after school programs.  ",I wish to participate in sports and engage in after school activities.  ,I would like to include sports in my after school routine.  ,0.5636221,0.5129981,0.442424
"Still when I was twelve and a half years old, after six and a half years in all, my father found out that he would have to move away again","Even after twelve and a half years, my father found that he still had to move again.  ",It took twelve and a half years before my father realized he had to move again.  ,My father had to move again after discovering for twelve and a half years.  ,0.55306715,0.48196226,0.43532827
"But, you might wonder how I managed, with moving frequently, well I was home schooled.",I know you might be wondering how I handle moving around from home to school.  ,I see you may be uncertain about how I travel back and forth between home and school.,I understand you may be mixed up about how I go back and forth from home to school.  ,0.42511377,0.30258706,0.2386704
"Now, I`m wondering from now on with the new job, does that mean I might be moving around again for the next seven years or less?","From now on, am I required to move around for the next seven years or less because of my new job?  ",Does my new job mean I must move around for up to seven years from now?  ,Am I going to need to move continuously for less than seven years due to my new job?  ,0.6312597,0.5044124,0.36735588
I wonder.  We'll see.  Oh well.,"I guess we'll see, oh well.  ","Do I see? I wonder, oh well.  ","I have my doubts about seeing, oh well.",0.55333626,0.481934,0.39286655
I grew up there between the age of six and a half and thirteen.,My growing years were between the ages of six and a half and just before thirteen.  ,I was growing up from six and a half until just before I was thirteen.  ,"At six and a half until just shy of thirteen, that's when I was growing.  ",0.67263967,0.55626965,0.40113088
I was born in Florida.,I was born in Florida.,I am from Florida.,I come from FLA.,1.0000007,0.74161714,0.5562612
Who lost the key?,Who lost the key?  ,Who is the one that lost the key?  ,The key was lost by who?  ,0.99999964,0.7895868,0.6943867
Whichever team that wins this game will move onto the next game.,Which team is winning now and is expected to win the next game? ,Which team is currently winning and will also win their next game? ,Which team currently wins and is poised for another win next game? ,0.45219988,0.40311143,0.36078957
What time did my friend arrive?,I waved several times when my friend arrived.  ,I kept waving to my friend upon their arrival.  ,I waved to get my friend's attention as they arrived multiple times.  ,0.5062068,0.445719,0.34280866
"The man who is painting my house, my sister knew him from a long time ago.","Those five men painted my house, and my sister knew them from before.  ","Five men painted my house, and my sister had known them.",My sister had known those five men before they painted my house.  ,0.6754085,0.5941311,0.5367889
What does John eat? He eats caviar. Yuck!,"""What does John eat? Caviar.""","""What has John eaten? Caviar.""","""John ate, question what? Caviar.""",0.6858268,0.5936568,0.32653815
Did you take an introduction to linguistics class?,Have you already taken the introduction to linguistics class?,Have you completed taking up the introduction to linguistics class?,Have you managed to finish taking the linguistics introductory class?,0.88827544,0.7941793,0.77344555
My best friend visited Boston yesterday.,Who is my best friend who visited Boston yesterday?,Who went to Boston yesterday with my best friend?,"The best friend I visited in Boston yesterday, who was it?",0.72393715,0.6447445,0.5726599
What did John buy yesterday?,What did John buy yesterday?  ,What did yesterday John buy?  ,What was bought by John yesterday?  ,1.0,0.8418039,0.7064945
My friend is thrilled because he won the lottery.,"My friend was astonished, ""Wow! Is something exciting happening with them winning the lottery?""  ","My friend, surprised, asked, ""Wow! What's the excitement? Did they win the lottery?""  ","My friend showed surprise, ""Wow! What's going on? Did they win in the lottery?""  ",0.49880877,0.4221963,0.3899646
Did those girls arrive on time?,Those girls arrived on time.  ,"They, the group of girls, arrived on time.  ",Those girls over there were on time.  ,0.758766,0.57222164,0.4378594
Do you think Obama will be elected again for his second term as president?,Do both of you want to vote for Obama again as president?  ,Are you two considering voting for Obama as president a second time?  ,Did the two of you think about a second vote for Obama for president?  ,0.60557956,0.5381708,0.46024033
My brother can't help me.,My brother can't assist me there.  ,I can't help my brother here.  ,Brother of mine here can't help me.  ,0.8264534,0.7577245,0.62127334
Nobody is looking to find money.,There was absolutely no money to be found.  ,There was no money found anywhere.  ,There was no money located anywhere.  ,0.55494314,0.46284384,0.4396213
"A man walking saw money on the ground, and seeing no one was around, he pocketed it.",Five men see a man walking with money and pocket it.  ,A man walking with money was seen by five men who then pocket it.  ,Five men observe a man walking with money and he is putting it in his pocket.  ,0.61279535,0.51339614,0.46426636
I love my new car.,I love my new car.  ,I'm in love with my new car.  ,I'm infatuated with my new car.  ,0.9999989,0.852818,0.75352085
"When it looks warm out, I must go to the beach.","To warm up, I must go to the beach over there.",The warm beach is where I must go out to.  ,I am required to leave for the warm beach close by.  ,0.63704944,0.54438007,0.43637186
Ann hates fish but likes chicken.,"Fish Ann detests fish, but enjoys birds and eats them from a bowl.  ","Fish named Ann dislikes fish, but likes birds and eats them from a bowl.  ",Fish Ann is turned off by fish but finds birds fine and acts like she's eating from a bowl.  ,0.5395612,0.49250236,0.36613962
"If he is allergic to peanuts, he cannot eat the cake.","If you are allergic to nuts, you cannot eat sheet cake.  ","If you have a nut allergy, you can't eat the sheet cake.  ","If you're allergic to nuts, you should avoid sheet cake.  ",0.7242236,0.6936069,0.5758203
"If he doesn`t pass this course, he can`t graduate.","If he doesn't pass that course, he can't graduate.  ",She can't graduate unless she passes that course.,"In order to graduate, she has to pass that course.  ",0.8174576,0.6137266,0.5599853
Who left their book in my office?,Who has the stack of books I left in my office?,"The stack of books I left in my office, who has it?  ","Someone took my stack of books from the office, do you know who?  ",0.6959611,0.6081393,0.5043492
The candidate who wins the Republican primary will run against Obama in the next election.,The volunteer wearing the shirt said they will win the Republican race against Obama in the upcoming election.  ,The person in the volunteer shirt indicates that the Republicans will compete and win against Obama in the next voting.  ,Volunteers wearing shirts think they will succeed in the Republican championship against Obama in future elections.  ,0.46707505,0.35542116,0.26386636
How did Father fix the clock?,How several times did Father fix the circular object?  ,"Father repaired the circular object multiple times, how?  ",Father repaired what circular object many times?  ,0.5772619,0.4892773,0.33866572
When does rain in Seattle? It rains there everyday.,It rains constantly in Seattle.  ,"In Seattle, rain every day.  ",Rain falls daily in Seattle.  ,0.6683919,0.57636,0.5081824
"When the party is finished, I can go home.","Now that the party is over, I can go home.","The party ended, and I can leave the house.","The gathering finished, and I am free to leave home.",0.75846195,0.60697913,0.5168755
Demi Moore's first husband was Bruce Willis.,Did you know Demi Moore's first husband was Bruce Willis?  ,Did you hear that Bruce Willis is Demi Moore's first husband?  ,Are you aware that Bruce Willis was married to Demi Moore first?  ,0.7803689,0.67270184,0.5199159
Is the class tough?,Class 2 is tough.  ,Class 2 is tough to manage.  ,Class 2 presents a challenge.  ,0.6214337,0.55832684,0.49563104
Jack lied. He's not sick.,"Jack says he's not sick, but he lied.  ",Jack in that place lied that he's not sick.  ,"At that place, Jack lied about not being sick.  ",0.779414,0.65794605,0.55473024
Are you going to the party next week?,Are you going to the party next week?  ,Are you planning to go to the party next week?  ,Will you join the party next week?  ,0.99999964,0.88882,0.7194333
My friend doesn't want to go out.,My friend doesn't want me to go out.  ,My friend doesn't want to go out there.  ,My friend doesn't want them to go out here.  ,0.9210054,0.8307814,0.7180411
No one wants to go.,No one wants to go out.  ,Not a single person wants to go out.  ,Nobody feels like going out.  ,0.8553918,0.73032445,0.62364024
"Once he learns the truth, he will be disgusted.",I finally learned about having an honest feeling of disgust towards the future.  ,I have finally learned that feeling disgusted about the future is honest.  ,I've just learned that being honest about future disgust is important.  ,0.43541762,0.40920523,0.3220339
Boston is a great city.,Boston is a wonderful city and community.  ,"Wow, Boston is a wonderful city and community.  ","Wow, Boston, what a wonderful city and community.  ",0.8274507,0.7207322,0.6520952
"When you get the book, read chapter two.",You finally got the book and you're reading chapter two.  ,You finally got the book; you're reading chapter two now.  ,You two finally received the book; now you're reading chapter two.  ,0.6562007,0.59545153,0.56280595
